STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,1.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,1.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,1.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,1.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,1.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,1.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,1.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,1.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,1.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,5.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,5.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,5.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,5.2,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,5.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,5.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,4.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,4.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLE,Sierra Leone,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,4.9,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,32.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,31.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,27.1,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,29.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2022,28.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2023,21.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2024,18.5,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2025,17.8,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RUS,Russian Federation,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,33.4,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RWA,Rwanda,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2018,9.7,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RWA,Rwanda,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2017,10.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RWA,Rwanda,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2019,9.6,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RWA,Rwanda,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2020,10.3,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,RWA,Rwanda,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2021,10.0,FAO_CAHD,Cost and Affordability of a Healthy Diet (CoAHD),6,Millions,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
