REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MEASURE_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
AZE,Azerbaijan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.1,PS,Persons,6,Millions,Normal value,Public
AZE,Azerbaijan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.1,PS,Persons,6,Millions,Normal value,Public
AZE,Azerbaijan,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,0.1,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,101.8,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,95.6,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,90.8,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,85.9,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,79.2,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,73.4,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,71.1,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,70.0,PS,Persons,6,Millions,Normal value,Public
BGD,Bangladesh,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2025,67.8,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2017,0.4,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2018,0.3,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2019,0.3,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2020,0.2,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2021,0.1,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2022,0.1,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2023,0.1,PS,Persons,6,Millions,Normal value,Public
BLR,Belarus,FAO_CAHD_7006,Number of people unable to afford a healthy diet (million),2024,0.1,PS,Persons,6,Millions,Normal value,Public
